,10BT2_43,10NBT0_22,10NBT2_90,13BT2_71,13NBT0_112,13NBT2_101,20NBT0_73,20NBT2_123,21BT2_40,21NBT0_35,21NBT2_26,25NBT0_102,25NBT0_32,25NBT2_109,26BT2_127,26NBT0_81,26NBT2_49,28NBT0_120,28NBT2_24,55BT2_96,55NBT0_19,55NBT2_79,5BT2_110,5NBT0_39,5NBT2_66,66BT2_17,66NBT0_129,66NBT2_119,73BT2_21,73NBT0_91,73NBT2_108,74BT2_88,74NBT0_64,74NBT2_42,protein
lcl|c122204_g1_i1|m.116,0,0,0,0,0,0,52.1218,61.7505,0,0,0,0,5.0374,0,0,0,0,10.458,5.5158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lcl|c122204_g1_i1|m.116
lcl|c169761_g1_i1|m.505,84.4202,61.6074,71.6093,38.9054,18.5191,24.8965,24.1825,56.2766,13.7374,7.3578,6.8323,10.7349,7.3454,0,16.7018,9.6155,21.0294,0,0,23.802,60.6317,21.3949,10.469,7.1878,7.8495,29.8122,21.0818,14.388,0,0,0,0,4.0172,0,lcl|c169761_g1_i1|m.505
lcl|c211238_g1_i1|m.2379,0,0,0,6.9852,0,0,0,0,0,0,0,0,0,0,0,0,0,24.6413,0,8.5469,17.4175,15.3652,0,0,0,16.0577,0,23.2492,0,8.0857,0,8.014,0,7.6243,lcl|c211238_g1_i1|m.2379
lcl|c235791_g2_i4|m.21334,5.1581,0,0,0,0,0,0,0,0,0,5.427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lcl|c235791_g2_i4|m.21334
lcl|c235791_g2_i8|m.21336,0,11.4417,0,10.2361,0,0,0,0,0,0,0,0,11.5956,0,0,0,0,0,0,0,0,0,0,11.3468,12.3914,11.7655,0,0,0,0,0,11.7438,12.6833,0,lcl|c235791_g2_i8|m.21336
lcl|c235847_g2_i10|m.21377,0,0,0,0,3.5688,3.4269,0,7.2299,0,0,0,0,0,0,3.2185,0,6.7542,0,0,0,0,0,0,0,0,3.5906,3.3855,3.4658,0,0,0,3.584,0,0,lcl|c235847_g2_i10|m.21377
lcl|c235850_g2_i3|m.21382,6.6529,14.8509,15.4448,0,7.5891,14.575,7.0785,15.3746,14.0738,7.538,6.9997,7.3318,0,0,6.8443,6.5673,0,0,8.24,8.1283,8.2822,14.6126,7.1502,7.3638,8.0417,15.2712,14.3987,14.7403,6.9914,15.3793,14.7498,0,8.2312,7.2508,lcl|c235850_g2_i3|m.21382
lcl|c235861_g2_i5|m.21394,24.5846,27.4394,28.5368,27.003,42.0661,21.5437,52.3148,56.8142,33.8047,50.1397,33.6258,40.6403,38.9319,0,20.2336,29.122,45.1143,57.7318,36.5392,15.0184,61.2109,35.0989,26.4224,43.5388,41.6036,47.9671,34.5852,49.0233,25.8356,22.7326,35.4285,36.613,54.7506,48.2295,lcl|c235861_g2_i5|m.21394
lcl|c235937_g3_i1|m.21493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.4967,0,0,0,0,25.8489,11.4015,0,0,0,23.8308,0,0,0,0,23.0173,0,0,0,lcl|c235937_g3_i1|m.21493
lcl|c235959_g6_i1|m.21503,41.8764,32.3578,18.6956,9.6495,22.0473,10.5856,78.8288,48.3875,17.036,29.1986,13.5567,21.3,36.4369,36.1946,66.2791,41.3377,41.7263,60.5157,47.8764,11.8069,36.0914,14.1505,13.8483,57.0479,27.2561,77.6385,45.3162,74.9398,16.9259,22.3395,28.5669,33.2122,39.8547,31.597,lcl|c235959_g6_i1|m.21503
lcl|c235993_g2_i2|m.21545,4.1057,0,4.7657,4.0996,4.6834,0,0,0,0,4.6519,0,4.5247,9.2882,0,4.2238,8.1057,4.4319,9.6414,0,0,5.1112,4.5089,8.8252,0,4.9628,4.7121,0,0,8.6292,14.2365,9.1025,4.7034,5.0797,0,lcl|c235993_g2_i2|m.21545
lcl|c236015_g2_i16|m.21586,0,0,7.8833,20.3443,7.7472,7.4393,0,0,14.367,0,0,29.9383,7.6821,0,0,20.1124,0,0,0,0,8.4548,7.4585,0,0,8.2093,7.7947,14.6987,7.5237,14.2741,15.6997,0,0,0,0,lcl|c236015_g2_i16|m.21586
lcl|c236024_g3_i2|m.21588,5.3441,5.9647,6.2033,10.6724,0,11.7078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4873,0,0,0,0,0,0,0,0,0,0,0,lcl|c236024_g3_i2|m.21588
lcl|c211278_g7_i1|m.2402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8955,0,0,0,0,14.5581,0,0,0,0,7.0306,0,0,0,lcl|c211278_g7_i1|m.2402
lcl|c236035_g1_i2|m.21599,419.1322,1108.864,666.7021,620.0168,531.2346,918.2252,792.7927,843.0409,919.4891,668.3704,702.2999,718.5203,755.0414,0,335.3721,490.3592,251.351,1111.8323,961.3286,701.7437,405.828,716.0171,400.4129,687.2917,863.1476,374.1437,806.3297,722.2765,880.9189,717.7021,808.7828,355.6691,614.5971,829.0121,lcl|c236035_g1_i2|m.21599
lcl|c236073_g1_i1|m.21645,0,0,5.5,9.4625,0,0,0,0,0,0,9.9705,0,0,0,0,0,5.1147,5.5634,0,5.7891,5.8987,0,0,0,5.7274,0,5.1275,0,0,0,0,5.4281,0,0,lcl|c236073_g1_i1|m.21645
lcl|c236101_g5_i2|m.21702,0,3.272,6.8057,0,0,9.6337,6.2383,0,3.1008,3.3216,3.0844,0,0,0,3.0159,5.7877,3.1645,0,10.8928,7.1634,3.6495,6.439,6.3015,3.2449,17.7179,6.7292,0,6.4953,15.4038,0,6.4995,10.0752,3.6271,6.3901,lcl|c236101_g5_i2|m.21702
lcl|c236120_g2_i1|m.21731,83.8949,0,13.9117,83.7707,95.7004,52.5129,178.5241,207.7268,76.0607,67.8975,138.7066,52.8324,54.2266,0,98.6389,23.6616,51.7487,84.4328,74.2202,73.2145,44.7604,26.3242,25.7619,66.3287,72.4349,82.5317,90.7862,106.2171,100.7587,55.4108,66.4285,82.3792,44.4849,117.5595,lcl|c236120_g2_i1|m.21731
lcl|c236131_g3_i3|m.21740,3.6546,12.237,10.6053,3.6492,20.8444,4.0032,9.721,23.2257,7.7311,14.4929,21.1481,10.069,10.3347,0,0,14.4304,15.7799,17.1642,15.8425,8.9302,9.0993,10.0339,7.8556,10.1129,15.4614,20.9722,9.887,14.1702,7.6812,25.3449,16.205,10.4667,11.3041,5.9746,lcl|c236131_g3_i3|m.21740
lcl|c236134_g1_i2|m.21741,2.7098,3.0245,1.5727,8.1174,1.5456,4.4525,2.8832,4.6967,1.4331,0,1.4255,1.4932,4.5978,0,1.3939,2.675,2.9251,0,5.0344,4.9662,3.3735,0,13.1058,4.4991,6.551,10.8853,2.9324,4.503,9.967,7.8303,4.5059,4.6565,11.7344,2.9534,lcl|c236134_g1_i2|m.21741
lcl|c236135_g4_i5|m.21746,20.2061,7.5175,23.4545,13.4508,30.7326,7.3778,21.4988,7.7826,7.1241,7.6315,7.0864,14.8455,15.2372,0,6.9292,6.6487,0,7.9083,16.6842,16.4581,33.5395,7.3969,7.2389,7.4551,24.4243,23.1907,0,22.3846,14.1562,23.355,7.4663,15.4319,41.6663,14.6814,lcl|c236135_g4_i5|m.21746
lcl|c236172_g4_i2|m.21786,0,0,0,0,18.0517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.0313,0,0,0,0,0,0,0,0,0,0,0,lcl|c236172_g4_i2|m.21786
lcl|c236181_g1_i10|m.21802,11.8975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8722,0,0,0,0,0,0,0,0,0,6.8274,0,6.5901,0,0,6.5944,6.8148,0,0,lcl|c236181_g1_i10|m.21802
lcl|c236181_g1_i2|m.21806,5.4151,0,6.2857,10.8142,0,0,0,0,0,6.1356,0,5.9678,0,0,0,0,0,6.3582,6.7069,0,0,0,0,0,0,6.215,5.86,0,5.6907,6.259,12.0057,6.2035,0,0,lcl|c236181_g1_i2|m.21806
lcl|c211368_g3_i1|m.2426,69.8554,25.989,27.0285,34.8759,119.5278,76.5188,37.1622,26.9056,49.2583,26.383,36.7482,12.8307,26.3387,0,35.9327,57.464,25.1351,27.3401,0,0,101.457,38.3581,25.0258,77.3203,84.4384,66.8114,62.9945,90.2846,24.47,53.8277,38.7183,80.0255,144.0462,25.3779,lcl|c211368_g3_i1|m.2426
lcl|c236286_g4_i1|m.21959,0,0,3.032,2.6082,0,8.5838,2.7792,3.0183,2.7629,0,13.7413,0,2.9547,0,0,0,2.8196,6.134,3.2352,6.3828,3.2518,0,0,8.6738,3.1574,8.9938,2.8267,5.7875,0,0,2.8956,2.9924,3.2318,2.8469,lcl|c236286_g4_i1|m.21959
lcl|c236325_g1_i10|m.21998,0,0,9.7025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4058,0,0,0,0,9.5934,0,0,0,0,9.2659,0,0,0,lcl|c236325_g1_i10|m.21998
lcl|c236333_g1_i1|m.22011,0,0,0,2.481,0,0,0,0,0,5.6305,2.6142,0,0,0,0,0,0,2.9174,9.2323,0,0,2.7287,0,2.7502,6.0068,0,0,2.7526,0,0,0,0,0,2.708,lcl|c236333_g1_i1|m.22011
lcl|c236351_g2_i1|m.22019,19.6381,65.7553,56.9877,49.0224,78.4051,43.0226,52.236,56.7286,31.1574,44.5015,51.6542,32.4633,44.4266,0,0,29.0782,31.7974,103.7608,60.8069,35.9898,24.4475,32.3502,21.1061,54.3416,59.3442,45.0776,63.7535,54.3883,72.2306,45.3968,65.308,78.74,24.2969,64.2092,lcl|c236351_g2_i1|m.22019
lcl|c236389_g1_i1|m.22061,4.1687,4.6528,9.6777,0,0,9.1327,4.4354,19.2674,4.4093,4.7233,13.1579,0,14.1461,0,4.2886,4.1151,8.9998,4.8947,0,5.0932,15.5689,4.5781,4.4803,0,10.0779,14.3533,9.0222,13.8544,4.3808,4.8183,9.2422,4.7756,5.1577,18.1734,lcl|c236389_g1_i1|m.22061
lcl|c236415_g5_i1|m.22087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1096,0,0,5.0133,19.0404,0,0,0,0,0,4.7513,0,0,lcl|c236415_g5_i1|m.22087
lcl|c236416_g2_i2|m.22088,5.7192,0,6.6386,0,0,0,0,6.6084,0,0,0,0,0,0,0,0,0,0,7.0835,0,14.2396,6.2809,0,0,0,13.1278,0,0,6.0102,6.6104,0,19.6554,7.076,0,lcl|c236416_g2_i2|m.22088
lcl|c236507_g1_i5|m.22184,0,10.2781,0,0,0,0,29.3938,31.9219,9.7404,20.8679,0,10.1486,10.4164,0,0,0,0,21.625,22.8112,0,0,0,0,10.1929,0,10.569,0,20.4033,9.6774,0,10.2082,0,11.3935,0,lcl|c236507_g1_i5|m.22184
lcl|c236507_g1_i6|m.22186,3.6546,8.158,4.2421,3.6492,0,0,7.7768,0,11.5967,4.1408,7.6902,8.0552,8.2677,0,0,0,7.8899,4.2911,9.0529,13.3953,9.0993,4.0135,3.9278,4.0452,8.8351,4.1944,0,4.0486,11.5217,8.4483,8.1025,4.1867,4.5216,7.9662,lcl|c236507_g1_i6|m.22186
lcl|c236523_g2_i4|m.22204,34.3873,46.0565,39.9155,58.3718,82.375,37.6675,47.5634,27.8138,40.0094,50.651,32.5617,45.476,70.0141,12.8794,70.7536,64.4954,29.6955,64.6012,38.3315,54.6174,72.7751,45.3175,51.7411,72.3179,54.0358,78.9333,40.9331,34.2853,32.5234,43.7208,57.179,63.03,59.5634,44.9735,lcl|c236523_g2_i4|m.22204
lcl|c211415_g1_i1|m.2432,30.9486,34.5423,35.9239,41.2036,35.3036,33.9007,54.8808,71.5211,32.735,58.4434,65.1235,22.738,23.338,0,63.6782,61.1009,22.2716,84.789,25.5543,50.4161,12.8427,56.6469,22.1748,34.2558,37.4094,47.36,89.3087,45.7137,43.3645,59.6192,34.3074,47.2725,38.2908,67.4603,lcl|c211415_g1_i1|m.2432
lcl|c236527_g2_i1|m.22205,122.3561,87.7913,142.0262,126.5383,114.6498,110.094,51.1436,191.8734,50.8431,74.2686,142.5267,101.1322,88.9724,0,121.3813,185.4869,207.5499,56.4394,92.0092,128.1352,114.2411,119.9761,117.4133,48.3684,84.5138,90.276,217.5253,62.9329,91.8444,191.9324,193.7646,115.1395,91.9115,95.2523,lcl|c236527_g2_i1|m.22205
lcl|c236562_g3_i1|m.22244,173.605,172.2348,324.6614,173.3479,231.0399,285.2475,184.7113,390.051,214.2301,644.7454,324.7183,233.838,250.9185,0,109.1448,257.0578,208.2198,543.5672,274.7466,424.211,144.081,264.7992,165.8515,277.5601,233.1631,254.5948,281.7979,427.3826,364.8776,211.8071,331.435,320.4178,143.1938,346.8817,lcl|c236562_g3_i1|m.22244
lcl|c236655_g1_i2|m.22362,57.5279,128.4162,37.0979,76.5903,72.9146,105.0258,197.2266,177.2602,74.3704,0,6.7252,21.133,21.6907,0,19.7278,56.7879,55.1987,52.536,23.7505,7.8095,63.6593,0,0,14.1501,7.7264,51.3531,89.9216,35.4057,20.1517,44.3287,14.1714,7.3226,63.2673,6.9665,lcl|c236655_g1_i2|m.22362
lcl|c236666_g2_i2|m.22384,17.8138,19.8823,20.6775,8.8937,20.3205,48.7825,47.3834,61.7505,47.105,40.3675,28.1134,39.2634,30.2247,0,36.6527,17.5846,19.229,41.8319,33.0949,21.7643,22.1764,9.7817,9.5727,49.2935,10.7663,20.445,48.1925,69.0702,46.8005,41.1796,19.7471,0,22.0399,58.2444,lcl|c236666_g2_i2|m.22384
lcl|c236706_g2_i4|m.22417,164.0898,109.8864,63.4897,54.6156,49.9147,95.8624,23.2783,12.6402,185.132,123.9472,138.1142,72.3343,37.1216,0,11.2541,21.5972,23.6169,115.5992,54.1957,40.096,27.2368,36.0411,58.7855,60.5416,185.1221,163.217,59.1895,206.0185,91.9677,37.9322,84.8858,75.1918,81.2072,154.9927,lcl|c236706_g2_i4|m.22417
lcl|c236734_g2_i3|m.22454,10.5841,0,36.857,10.5685,0,0,0,0,0,11.9923,33.4075,11.6643,0,118.9252,0,62.688,0,49.7093,0,64.657,13.1762,69.7419,0,11.7152,25.5874,48.5901,0,11.7253,0,24.4671,46.9313,36.3752,13.0951,11.5354,lcl|c236734_g2_i3|m.22454
lcl|c236795_g1_i2|m.22544,0,16.8447,0,15.0699,17.2159,0,32.1154,0,0,0,31.7577,33.2648,34.1427,0,0,0,0,0,18.6925,0,0,0,48.6613,50.115,0,0,0,16.7194,0,0,50.1904,0,56.018,32.8973,lcl|c236795_g1_i2|m.22544
lcl|c236813_g3_i2|m.22564,83.2945,74.7379,58.7693,44.0318,26.0827,35.7803,66.033,88.6967,0,0,0,30.5983,42.4902,0,42.0055,33.8565,74.0453,42.1882,86.9819,11.9726,20.3321,3.5873,42.1276,32.5396,25.6643,7.4979,15.9064,16.2838,0,0,0,14.968,46.4758,56.9605,lcl|c236813_g3_i2|m.22564
lcl|c236822_g3_i10|m.22574,8.408,20.1094,12.5482,9.595,12.3315,6.5786,6.39,1.3879,0,0,1.2638,10.5898,6.7933,0,13.5928,11.857,14.2624,2.8206,5.9507,1.4675,10.4672,3.9574,7.7456,11.9656,10.1633,8.2714,14.2979,6.6532,8.8359,12.495,17.3096,16.5123,23.7777,7.8546,lcl|c236822_g3_i10|m.22574
lcl|c236844_g2_i5|m.22607,50.738,42.4723,80.9802,25.3314,36.1736,20.8417,40.488,73.2836,60.375,50.3023,53.3827,27.958,28.6958,380.067,32.6237,137.7346,82.1536,37.2337,54.9865,54.2414,86.8504,83.5818,156.7765,28.08,38.3313,80.0697,34.3161,42.1562,39.9898,109.9592,112.489,94.453,31.3875,55.2982,lcl|c236844_g2_i5|m.22607
lcl|c211436_g1_i2|m.2434,0,0,10.8735,0,0,10.2611,9.9669,0,9.9083,21.2277,19.7117,0,0,0,0,18.4942,0,0,11.6022,22.8901,23.3234,30.8628,0,10.3686,45.2926,21.5025,0,0,49.2212,10.8274,10.3842,10.7314,11.5899,10.2095,lcl|c211436_g1_i2|m.2434
lcl|c236878_g1_i2|m.22651,11.4988,0,3.3368,2.8704,9.8377,0,0,6.6433,3.0406,3.2572,9.0736,0,0,0,2.9574,0,6.2062,0,7.121,3.5122,3.5787,6.3141,3.0896,0,6.9497,6.5987,3.1108,0,6.042,0,3.1867,0,7.1134,3.1331,lcl|c236878_g1_i2|m.22651
lcl|c236902_g2_i4|m.22682,0,26.3657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.521,0,0,0,0,0,0,0,lcl|c236902_g2_i4|m.22682
lcl|c236923_g1_i10|m.22692,3.2023,10.7224,3.7171,0,7.3058,7.0155,10.2214,7.4004,3.3871,7.2566,3.3692,10.5872,7.2444,0,0,3.1611,3.4567,7.5199,3.9662,3.9124,7.973,3.5168,0,21.2669,7.7416,3.6753,10.396,10.6426,6.7304,3.7013,3.5498,3.6685,11.8859,13.9604,lcl|c236923_g1_i10|m.22692
lcl|c237097_g2_i1|m.22905,4.5785,4.0882,6.3775,11.8866,13.5793,4.0122,4.8714,2.1162,9.6856,2.0751,3.8537,8.0733,3.1074,0,3.7682,4.5196,1.9769,0,2.2683,6.7127,6.8398,4.0226,8.8574,3.0407,6.6412,2.1019,5.9455,4.0577,6.7361,10.5841,2.0302,13.6373,6.7977,3.992,lcl|c237097_g2_i1|m.22905
lcl|c237098_g1_i2|m.22911,31.96,45.8629,26.4985,41.0305,57.29,25.0061,29.1468,15.8268,28.9755,67.2509,24.0185,60.3799,56.8089,0,14.0913,27.0419,9.8569,64.3297,28.2744,44.626,62.5225,55.1554,39.2562,65.697,66.2262,57.6412,19.763,35.4057,43.1823,47.495,75.9183,36.613,39.5421,44.7846,lcl|c237098_g1_i2|m.22911
lcl|c237104_g1_i8|m.22918,0,0,5.0656,0,0,0,2.3216,0,0,2.4723,0,0,0,0,0,0,0,2.562,0,2.6659,0,0,0,0,0,0,0,0,0,0,4.8376,2.4997,0,2.3781,lcl|c237104_g1_i8|m.22918
lcl|c237130_g1_i4|m.22955,0,11.6617,0,0,0,0,16.6753,0,0,5.9193,10.9931,5.7574,0,0,0,0,5.6393,6.134,0,6.3828,0,0,11.2295,11.565,0,0,11.3067,5.7875,0,0,17.3736,11.9696,6.4636,0,lcl|c237130_g1_i4|m.22955
lcl|c237136_g1_i1|m.22958,19.4043,24.0639,7.5079,36.5982,29.513,11.8085,34.4094,19.93,27.3657,29.3145,40.8314,30.8888,31.7039,0,24.3988,36.181,13.9639,17.7205,32.0443,26.3417,32.2086,30.7812,23.172,16.705,31.2735,22.2705,23.3313,28.6618,40.7833,37.3803,31.0703,44.4586,29.3427,30.5475,lcl|c237136_g1_i1|m.22958
lcl|c237136_g3_i1|m.22962,9.7602,43.5744,11.3293,48.7289,33.401,32.0737,72.6924,78.9445,51.618,33.1763,41.0759,53.7815,0,0,30.1232,38.5387,52.6784,34.3798,48.3543,35.7743,24.3011,21.4376,41.9594,43.213,47.1911,67.2114,42.2478,54.0626,92.3119,33.8437,21.639,44.7249,48.3029,42.5498,lcl|c237136_g3_i1|m.22962
lcl|c237191_g2_i5|m.23010,32.9587,30.0976,24.3455,20.9427,23.9251,29.5385,9.5638,3.4621,22.1844,23.7641,31.5242,16.5101,10.1675,0,15.4123,23.6616,25.8744,31.6623,14.844,10.9822,18.6502,16.4526,25.7619,13.2657,28.9739,41.2658,29.1813,16.5964,28.3384,24.2422,23.25,41.1896,14.8283,32.6554,lcl|c237191_g2_i5|m.23010
lcl|c211551_g6_i4|m.2453,0,0,0,0,0,0,7.6398,0,7.5949,48.8144,0,0,0,0,7.3871,0,0,0,35.5734,0,0,0,7.7172,0,8.6794,16.4821,0,0,22.6374,0,0,0,0,0,lcl|c211551_g6_i4|m.2453
lcl|c237207_g2_i2|m.23024,7.4427,8.307,12.9589,3.7159,4.245,0,0,0,7.8723,0,3.9153,0,0,0,3.8284,3.6735,0,0,4.6091,4.5467,4.6327,0,3.9996,4.119,0,12.8131,4.027,0,7.8215,0,4.1252,4.2632,9.2084,4.0558,lcl|c237207_g2_i2|m.23024
lcl|c237211_g6_i4|m.23025,7.5812,8.4615,0,7.57,4.324,4.1522,8.0662,4.38,4.0094,4.2949,0,4.1774,4.2877,0,7.7994,14.9674,4.0918,8.9014,0,0,14.1568,8.3258,8.1479,4.1957,9.1639,4.3505,0,4.1993,3.9835,8.7626,8.404,4.3425,9.3798,4.1313,lcl|c237211_g6_i4|m.23025
lcl|c237215_g1_i1|m.23031,29.2107,29.3424,27.1253,37.9177,23.3248,35.1968,21.7556,16.8762,27.8071,29.7873,15.3667,19.3151,13.2165,0,12.0205,17.301,18.9189,17.1488,25.3253,28.551,40.001,25.6637,21.9761,29.099,31.7779,100.5763,18.9661,29.1241,30.6971,23.634,29.1428,50.1952,14.4562,41.3869,lcl|c237215_g1_i1|m.23031
lcl|c237256_g2_i1|m.23076,0,10.051,0,0,20.545,0,9.5814,0,0,0,9.4747,9.9243,0,0,0,0,9.7208,0,11.1535,11.0024,0,0,0,0,0,10.3355,0,0,0,0,9.9826,10.3164,0,9.8147,lcl|c237256_g2_i1|m.23076
lcl|c237299_g2_i1|m.23132,0,0,1.9916,0,0,0,0,0,0,1.944,1.8052,0,1.9407,0,0,0,0,0,4.2501,0,0,0,1.844,1.8991,0,0,0,1.9007,0,1.9831,0,0,0,0,lcl|c237299_g2_i1|m.23132
lcl|c237320_g5_i2|m.23157,0,8.5011,8.8411,22.816,17.3768,25.0295,16.2078,0,8.0563,8.63,0,16.7879,8.6154,0,15.6716,15.0373,8.2218,0,0,9.3058,0,8.3647,24.558,8.4306,18.4133,34.9667,8.2423,16.8756,8.0042,8.8036,16.8865,17.4511,9.4236,16.6024,lcl|c237320_g5_i2|m.23157
lcl|c237325_g2_i1|m.23163,4.3235,0,0,4.3171,0,4.7359,0,0,4.5731,9.7974,0,0,0,0,0,0,4.667,0,5.3549,0,0,0,0,4.7855,0,4.9621,0,0,0,4.9973,0,0,0,0,lcl|c237325_g2_i1|m.23163
lcl|c237387_g1_i1|m.23217,5.2131,1.9395,8.0682,6.9405,9.9111,9.5173,5.5466,4.0158,9.19,3.9378,7.3131,7.6601,5.8967,0,3.5754,5.146,3.7515,8.1612,4.3045,2.1231,8.653,5.7251,3.7352,1.9234,2.1005,13.9606,5.6413,5.7751,7.3045,10.0425,11.5577,7.9627,8.5998,5.6816,lcl|c237387_g1_i1|m.23217
lcl|c237405_g1_i2|m.23236,20.9641,11.6992,12.1672,5.2333,11.957,22.9638,11.1526,18.1677,11.0871,11.8766,16.5426,17.3277,11.8566,0,16.1755,15.5208,11.3148,12.3075,6.4913,19.21,13.0491,11.5115,11.2656,5.8011,12.6703,6.0152,17.0146,11.6122,16.5231,12.1155,17.4295,24.0162,12.9688,17.1362,lcl|c237405_g1_i2|m.23236
lcl|c237440_g3_i2|m.23273,0,64.9725,101.3567,58.1266,83.0054,47.8242,92.9054,100.8959,15.3932,65.9576,107.1824,64.1536,16.4617,0,44.9159,43.098,31.4189,51.2628,54.0747,53.342,54.352,31.965,0,32.2168,35.1826,50.1085,78.7431,48.3667,0,16.8211,0,133.3759,36.0115,31.7224,lcl|c237440_g3_i2|m.23273
lcl|c211553_g1_i1|m.2455,0,20.2137,10.5111,9.0419,10.3296,9.9191,0,20.9265,9.578,10.2601,9.5273,0,0,0,0,0,9.7748,10.6323,0,11.0635,11.273,19.8894,0,0,0,10.3929,9.7991,10.0316,0,10.4665,0,0,44.8144,9.8692,lcl|c211553_g1_i1|m.2455
lcl|c237490_g5_i6|m.23318,2.3402,1.306,1.3582,1.1684,1.3348,1.2817,1.245,0,1.2376,0,0,1.2895,0,0,0,1.1551,0,0,1.4492,1.4296,0,2.5701,0,1.2951,0,0,0,0,1.2296,2.7049,1.2971,5.3618,0,2.5505,lcl|c237490_g5_i6|m.23318
lcl|c237560_g2_i1|m.23397,28.9513,22.6192,33.6055,31.7993,19.8151,28.5416,12.3214,26.7622,64.3071,29.5228,27.4143,28.7153,19.6487,0,29.7844,22.8631,15.6257,20.3958,21.5146,24.7603,21.6249,25.4358,18.6693,35.2496,31.4957,39.8732,18.7977,38.4872,36.5094,26.7704,38.512,26.533,10.7459,18.932,lcl|c237560_g2_i1|m.23397
lcl|c237587_g5_i1|m.23455,46.1644,39.6346,49.4639,70.917,36.4573,46.6781,52.896,73.8584,41.3169,24.1413,37.3621,39.1351,32.1343,0,32.8796,49.076,42.1656,33.3562,30.7876,21.6932,61.891,35.0989,91.5977,35.3753,42.9244,65.2102,53.7992,23.6038,55.9771,57.4631,27.5555,52.8854,30.755,38.7027,lcl|c237587_g5_i1|m.23455
lcl|c237591_g3_i1|m.23457,43.53,10.7966,0,38.6361,38.6209,26.4902,5.1461,0,51.1585,27.4008,35.6214,15.9908,43.7675,0,19.9034,9.5489,62.6513,5.679,47.9238,5.9093,30.1059,5.3117,72.7754,10.7071,0,16.6533,0,10.7163,15.2483,22.3616,32.1695,38.7859,11.9682,52.7138,lcl|c237591_g3_i1|m.23457
lcl|c237591_g3_i4|m.23458,33.6389,6.8264,24.8479,61.0711,34.8841,77.0452,39.0447,42.4028,25.8768,17.3247,61.1322,33.7017,55.3458,0,18.8765,21.1312,42.9136,7.1813,18.938,0,22.8421,10.0753,69.0205,10.1546,14.786,21.0587,6.6186,23.7145,9.6411,38.8811,27.1198,17.5165,60.5372,36.6623,lcl|c237591_g3_i4|m.23458
lcl|c237613_g1_i3|m.23496,8.4454,4.713,4.9015,0,4.8169,9.251,0,4.8792,8.9329,4.7845,0,9.3073,0,0,0,4.1684,0,4.9581,5.23,0,5.2568,4.6374,4.5384,9.3479,5.1042,0,4.5695,9.3559,17.7502,9.7615,4.681,4.8375,0,0,lcl|c237613_g1_i3|m.23496
lcl|c237643_g4_i5|m.23532,0,0,2.5193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3326,0,0,2.491,0,0,0,0,0,0,2.6853,0,lcl|c237643_g4_i5|m.23532
lcl|c237643_g4_i5|m.23533,0,5.5976,5.8215,0,0,0,0,0,0,0,5.2767,0,0,0,0,0,0,0,0,0,6.2435,0,0,0,0,5.7561,0,0,0,0,0,5.7454,0,5.466,lcl|c237643_g4_i5|m.23533
lcl|c237693_g4_i3|m.23606,0,0,1.3505,1.1617,0,0,0,0,0,1.3182,1.2241,0,0,0,0,0,0,0,0,0,1.4484,1.2777,0,0,0,0,0,0,0,0,0,0,0,0,lcl|c237693_g4_i3|m.23606
lcl|c211563_g8_i2|m.2460,23.4526,39.264,27.2229,23.4179,40.1292,38.5346,0,13.5496,24.8064,39.8593,24.6751,25.8461,26.5281,0,0,23.151,12.658,41.3052,58.0947,28.6537,14.5981,38.634,25.2059,51.9177,28.3486,26.9168,38.0686,38.9718,24.646,13.5537,25.9979,40.3006,29.0165,25.5605,lcl|c211563_g8_i2|m.2460
lcl|c237702_g1_i1|m.23627,31.3454,69.9704,109.1534,78.2473,125.1466,120.1737,33.3507,54.3285,49.732,88.7891,49.4688,34.5442,35.4559,0,16.1237,61.8843,16.9179,55.206,77.6458,57.4452,39.0219,68.8478,0,86.7375,37.889,35.9754,101.7604,86.8121,49.4105,72.4603,69.4944,53.8633,38.7817,85.4065,lcl|c237702_g1_i1|m.23627
lcl|c237753_g2_i2|m.23709,0,0,0,23.7251,21.683,31.2321,5.0561,0,0,21.5372,14.9993,0,0,0,0,0,0,5.5796,5.8857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lcl|c237753_g2_i2|m.23709
